Avail,Player,ERA,K,QS,SHD,WHIP,Rank,CBS Salary,Contract Status,Dollars
Free Agent,Pedro Rodriguez,0.0,0,0,0,0.0,9999,0.0,FA,-14.3073992367924
Free Agent,Ben Brown,0.0,0,0,0,0.0,9999,0.0,FA,1.08
Free Agent,Boone Whiting,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Griffin Canning,4.29,34,2,1,1.3,800,0.0,FA,-13.2
Free Agent,Hunter Dryden,0.0,0,0,0,0.0,9999,0.0,FA,6.44194100052151
Free Agent,Jeff Criswell,3.38,11,0,1,1.62,891,0.0,FA,-6.03093975293305
Free Agent,Ryan Hawks,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ben Hess,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Fineas Del Bonta-Smith,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Justin Lange,0.0,0,0,0,0.0,9999,0.0,FA,-4.96023533021454
Free Agent,Ray Gaither,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,James Reeves,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Martin Agosta,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Sammy Peralta,0.0,0,0,0,0.0,9999,0.0,FA,-4.01381760235769
Free Agent,Abel Mercedes,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Markus Solbach,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Zak Kent,4.56,77,0,9,1.4,736,0.0,FA,-8.74
Free Agent,Eddy Yean,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Kyle Hunter,0.0,0,0,0,0.0,9999,0.0,FA,-6.23721706051679
Free Agent,Ixan Henderson,0.0,0,0,0,0.0,9999,0.0,FA,0.192838981964923
Free Agent,Jordan Guerrero,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Kyle Wilcox,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Alan Strong,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jose Rodriguez,0.0,0,0,0,0.0,9999,0.0,FA,0.653935809232842
